"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"95",666,5,4,2,2,6,2,1,6,4,70.3333358764648,0,1.02379238605499,1,-1.47277271747589,0,8
"96",739,27,3,0,0,7,2,3,6,6,69,1,1.40920376777649,1,-1.47277271747589,0,3
"97",771,20,5,0,5,6,2,2,6,7,73,1,-0.517853319644928,0,-1.47277271747589,0,10
"98",791,5,3,1,2,5,1,2,5,2,68,1,1.21649813652039,1,-1.47277271747589,0,6
"99",793,1,5,5,5,5,1,1,8,6,67.5,1,1.79461526870728,1,-1.47277271747589,0,15
"100",815,50,5,8,8,6,1,2,6,7,98.6666641235352,1,-1.28867614269257,0,-1.47277271747589,0,21
"101",835,1,1,0,1,4,1,2,1,2,73.6666641235352,0,0.0602638274431229,1,-1.47277271747589,0,2
"102",869,10,3,2,0,7,0,1,1,6,84,1,0.0602638274431229,1,-1.47277271747589,0,5
"103",882,14,5,0,2,4,1,1,5,7,79.5,1,-2.25220465660095,0,-1.47277271747589,0,7
"104",916,1,1,0,0,4,0,2,2,2,54,1,0.0602638274431229,1,-1.47277271747589,0,1
"105",936,2,4,0,0,7,2,3,6,6,67,1,1.40920376777649,1,-1.47277271747589,0,4
"106",944,25,1,0,0,6,1,2,6,2,55.5,0,1.21649813652039,1,-1.47277271747589,0,1
"107",973,10,2,0,0,6,3,2,5,2,82.25,1,1.98732089996338,1,-1.47277271747589,0,2
"108",12,14,5,2,2,6,1,1,8,6,81,1,-0.132441878318787,0,-1.31298589706421,0,9
"109",34,5,5,2,5,7,3,3,1,1,75.5,0,0.831086695194244,1,-1.31298589706421,0,12
"110",77,10,4,0,0,7,1,2,6,6,70.6666641235352,1,1.98732089996338,1,-1.31298589706421,0,4
"111",84,30,5,1,0,6,1,1,6,6,84,0,0.638380944728851,1,-1.31298589706421,0,6
"112",133,16,5,8,8,7,2,2,8,6,71,1,1.02379238605499,1,-1.31298589706421,0,21
"113",136,8,4,0,8,7,2,2,6,2,80,1,-0.903264701366425,0,-1.31298589706421,0,12
"114",164,4,5,2,0,6,2,3,6,4,73.5,1,1.21649813652039,1,-1.31298589706421,0,7
"115",175,25,4,2,0,5,1,1,4,6,92.1999969482422,1,0.445675253868103,1,-1.31298589706421,0,6
"116",180,15,4,1,0,6,3,2,1,1,64,0,-0.517853319644928,0,-1.31298589706421,0,5
