"","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"33",6,4,0,5,7,2,3,6,6,80,0,-1.28867614269257,0,1.56317687034607,1,9
"34",5,5,2,5,7,3,3,1,1,75.5,0,0.831086695194244,1,-1.31298589706421,0,12
"35",3,4,0,0,4,1,2,6,6,51,0,1.02379238605499,1,0.284882336854935,1,4
"36",4,3,1,0,7,1,1,6,6,73.3333358764648,0,-0.710559010505676,0,0.284882336854935,1,4
"37",2,4,5,5,5,0,2,8,6,74,1,-0.903264701366425,0,-0.0346913151443005,0,14
"38",8,2,0,1,5,0,1,7,8,60.75,1,-0.710559010505676,0,-0.354264974594116,0,3
"39",3,4,0,5,6,2,3,2,1,68.5,0,-1.09597039222717,0,0.764242827892303,1,9
"40",14,1,2,1,6,2,3,6,6,56.75,0,-0.517853319644928,0,1.40339004993439,1,4
"41",13,1,1,0,7,2,3,5,5,65,0,-1.28867614269257,0,-0.194478139281273,0,2
"42",9,5,1,0,7,2,2,5,6,73,0,0.831086695194244,1,0.764242827892303,1,6
"43",5,5,2,2,6,0,1,6,6,60.6666679382324,0,-1.09597039222717,0,1.2436032295227,1,9
"44",8,3,0,2,6,2,2,8,8,89.1999969482422,1,-1.09597039222717,0,0.284882336854935,1,5
"45",2,3,2,5,7,0,1,5,5,70,0,0.445675253868103,1,-0.67383861541748,0,10
"46",3,1,0,0,6,3,3,6,1,63.5,1,0.445675253868103,1,-0.833625435829163,0,1
"47",3,5,0,2,7,3,3,5,5,62,0,0.0602638274431229,1,-0.0346913151443005,0,7
"48",30,1,5,5,7,2,3,6,6,62.5,0,0.638380944728851,1,-0.833625435829163,0,11
"49",5,2,5,1,7,2,3,6,2,79,1,0.831086695194244,1,-1.95213317871094,0,8
"50",18,4,2,0,7,1,2,6,2,76.6666641235352,1,0.638380944728851,1,-0.993412256240845,0,6
"51",6,4,1,1,4,3,3,5,7,34,1,0.831086695194244,1,-0.514051795005798,0,6
"52",1,3,2,2,5,2,2,2,2,54.6666679382324,0,-0.903264701366425,0,-0.0346913151443005,0,7
"53",20,3,0,0,6,0,1,0,0,71,1,0.252969533205032,1,-1.63255953788757,0,3
"54",15,2,1,0,7,1,3,6,2,96,1,1.40920376777649,1,-0.354264974594116,0,3
"55",15,3,1,0,4,1,2,7,0,77.75,1,1.02379238605499,1,-0.514051795005798,0,4
"56",4,5,1,5,5,3,3,5,2,67.3333358764648,0,1.02379238605499,1,1.08381640911102,1,11
"57",10,4,1,1,6,2,3,6,2,64.5,1,-0.325147598981857,0,-0.833625435829163,0,6
"58",4,6,1,2,7,2,2,2,2,48.6666679382324,0,-0.132441878318787,0,0.284882336854935,1,9
"59",8,6,5,5,7,0,1,7,7,21,1,-0.325147598981857,0,-0.194478139281273,0,16
"60",5,5,1,5,5,2,3,7,6,67.5,0,-0.132441878318787,0,-0.0346913151443005,0,11
"61",4,2,2,8,6,3,3,6,5,78.5,1,1.02379238605499,1,0.764242827892303,1,12
"62",2,4,2,0,6,3,1,5,2,90,0,0.445675253868103,1,-0.514051795005798,0,6
"63",8,5,0,5,7,2,2,6,6,71.6666641235352,1,-0.710559010505676,0,0.764242827892303,1,10
"64",5,2,2,2,3,2,1,5,2,56,0,-0.325147598981857,0,-0.0346913151443005,0,6
"65",7,4,0,1,5,1,2,6,6,80.6666641235352,0,0.252969533205032,1,-0.194478139281273,0,5
"66",1,4,0,0,4,1,2,1,1,67.5,0,1.02379238605499,1,-1.79234635829926,0,4
"67",2,2,0,0,2,2,1,6,6,75.3333358764648,0,1.21649813652039,1,-0.354264974594116,0,2
"68",15,6,2,2,7,1,2,7,1,60,1,0.445675253868103,1,1.40339004993439,1,10
"69",3,5,0,0,6,3,3,2,2,71.75,0,1.21649813652039,1,-0.514051795005798,0,5
"70",16,1,0,0,4,2,1,2,1,82.3333358764648,1,0.638380944728851,1,-0.0346913151443005,0,1
"71",6,5,2,5,7,3,2,0,2,68,1,-0.132441878318787,0,0.284882336854935,1,12
"72",4,4,2,0,3,1,1,6,4,65,1,0.445675253868103,1,-0.354264974594116,0,6
"73",3,4,1,5,7,3,3,5,1,81.3333358764648,0,0.0602638274431229,1,0.444669157266617,1,10
"74",30,6,2,0,7,0,3,0,0,65.75,0,0.831086695194244,1,-1.47277271747589,0,8
